"","GNIS_NAME","HUC6","temp","RepeatID","Yrange","size","barrier","length","numSpE","pisc","prosper","FHMN","LNDC","CRCH","SDSH","LNSU","WSU","EB","GSUN","CARP","LL","RB","LKCH","BRMN","PLMN","SCAT","SHRH","FHCH","RCSU","CCAT","PLSU"
"185","","1.019e",18.18,228,28,4.72996286,1,38.128,9,0,0.763212121,0,1,1,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","","1.009",21.15,226,26,184.2826277,0,682.695,7,0,0.769660607,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,NA,1,NA
"187","Nowood River","1.008e",13.04,224,13,15.8495437,0,217.713,6,1,0.838242422,NA,1,NA,NA,1,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0
"188","","1.018e",13.67,222,34,2.07940385,0,18.896,4,1,0.712975755,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Musselshell River","1.004",22.04,208,42,328.0616346,0,231.649,3,1,0.72306667,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"190","Musselshell River","1.004",15.67,207,40,71.44652722,0,14.848,5,1,0.973296976,NA,1,NA,NA,1,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"191","Musselshell River","1.004",21.54,204,42,313.8399397,1,33.013,8,0,0.721600002,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,0,0,NA,0
"192","Muddy Creek","1.019e",18.97,198,55,2.70733593,0,30.723,3,1,0.671769695,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"193","Long Creek","1.018e",15.38,194,21,0.26933286,0,16.932,3,1,0.54009091,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Lodgepole Creek","1.019e",20.71,193,25,254.722626,0,231.667,3,1,0.623842416,1,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Lone Tree Creek","1.019e",17.07,192,15,1.64211843,1,43.77,4,0,0.792842424,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Lone Tree Creek","1.019e",16.4,191,22,0.64466568,1,43.77,3,0,0.736933336,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Lodgepole Creek","1.019e",18.69,189,34,9.20326527,1,99.45,5,0,0.789387878,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"198","Lodgepole Creek","1.019e",18.51,188,67,8.7866836,1,99.45,6,0,0.787436362,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"199","Lodgepole Creek","1.019e",17.44,187,22,6.07179325,1,99.45,7,0,0.7127697,0,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"200","Laramie River","1.018e",20.97,185,52,263.5005477,1,104.104,11,1,0.696448485,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,NA,1,1,NA,1,1,NA
"201","Laramie River","1.018e",20.36,184,44,327.448706,0,22.674,6,1,0.506739389,0,NA,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,0,1,NA,NA,NA,NA
"202","Laramie River","1.018e",15.63,183,26,46.6301443,1,99.993,3,1,0.739363638,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Laramie River","1.018e",15.62,182,25,47.63749088,1,99.993,3,1,0.734896976,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Laramie River","1.018e",18.36,180,27,194.5867109,0,123.061,5,0,0.626363637,1,1,1,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"205","Laramie River","1.018e",20.14,179,24,258.4005158,1,104.104,14,1,0.686763632,1,0,1,0,1,1,NA,1,1,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA
"206","Laramie River","1.018e",16.91,178,21,250.5861079,1,104.104,6,1,0.674642422,NA,1,1,NA,1,1,NA,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"207","Laramie River","1.018e",18.63,177,20,250.5861079,1,104.104,8,1,0.660048485,NA,1,1,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"208","Laramie River","1.018e",14.17,176,12,18.055353,1,99.993,3,1,0.779424243,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Laramie River","1.018e",17.25,175,19,64.53348101,1,25.729,5,1,0.610793936,1,1,1,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"210","Lance Creek","1.012",21.86,174,15,49.52163138,0,148.488,7,0,0.706242428,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA
"211","Laramie River","1.018e",20.53,172,51,375.5941129,0,24.972,13,1,0.531957572,0,1,1,0,0,1,NA,1,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
"212","La Bonte Creek","1.018e",19.15,170,17,4.28948871,0,66.704,8,0,0.786963638,NA,1,1,1,1,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Little Powder River","1.009",21.94,167,32,56.68568746,0,257.846,11,1,0.781660604,1,1,NA,1,NA,1,NA,1,1,NA,NA,0,NA,NA,1,1,1,1,1,NA
"214","Little Powder River","1.009",20.37,166,49,21.05739573,0,257.846,9,0,0.784903031,1,1,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,0,1,1,0,1,NA,NA
"215","Little Powder River","1.009",21.38,165,52,47.33956798,0,257.846,9,1,0.782763635,1,1,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,0,1,1,1,1,1,NA
"216","Little Missouri River","1.011",18.98,163,57,29.94519944,0,1005.347,8,0,0.690018182,1,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,NA,1,1
"217","Little Missouri River","1.011",18.17,162,27,3.71619721,0,1005.347,5,0,0.599284843,1,NA,1,1,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"218","Little Missouri River","1.011",18.84,161,15,26.07513358,0,1005.347,5,0,0.688763633,1,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
"219","Little Missouri River","1.011",18.57,160,28,11.88304219,0,1005.347,4,0,0.693242425,1,NA,NA,1,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Little Medicine Bow River","1.018e",15.99,157,45,6.17503226,0,101.29,4,0,0.723945452,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Little Beaver Creek","1.011",18.7,156,17,11.06784138,0,179.762,6,0,0.77706667,NA,NA,NA,1,NA,0,NA,0,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
"222","Inyan Kara Creek","1.012",17.29,137,45,5.00735527,0,91.656,6,0,0.760030304,0,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"223","Inyan Kara Creek","1.012",19.47,136,55,17.32633867,0,91.656,9,0,0.825151516,0,NA,1,0,NA,1,NA,0,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA
"224","Horse Creek","1.018e",19.12,134,24,36.80959319,1,136.314,7,0,0.618551515,NA,0,1,NA,0,1,NA,NA,1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"225","Horse Creek","1.018e",18.56,133,29,27.03760899,1,136.314,7,1,0.724381826,NA,1,1,NA,0,1,0,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"226","Horse Creek","1.018e",19.46,132,29,38.94474004,1,136.314,11,0,0.656618185,0,1,1,1,1,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"227","Horse Creek","1.018e",20.01,131,29,82.33099307,1,136.314,13,1,0.685260605,1,1,1,1,1,1,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"228","Horse Creek","1.018e",20.17,130,34,82.75555116,1,34.973,15,1,0.6964303,0,1,1,1,0,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"229","Horse Creek","1.018e",20.24,129,34,92.72555238,0,20.214,12,1,0.568909095,0,0,1,1,1,1,NA,1,1,NA,NA,NA,0,NA,1,NA,NA,NA,1,NA
"230","Horse Creek","1.018e",18.38,128,16,0.14133583,1,38.072,5,1,0.554684849,NA,1,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Horse Creek","1.018e",20.24,127,63,87.07962444,1,34.973,5,1,0.514824241,0,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
"232","Horse Creek","1.018e",18.88,126,29,30.20575509,1,136.314,6,1,0.526818182,NA,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"233","Horse Creek","1.018e",18.15,125,24,17.91826645,1,24.628,4,1,0.722000005,NA,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Encampment River","1.018e",15.58,124,11,128.3795824,1,25.829,3,1,0.830981818,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Encampment River","1.018e",16.02,123,13,141.1028391,1,25.829,5,1,0.834927274,NA,1,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Grass Creek","1.008e",14.89,114,10,5.32381125,0,75.323,4,1,0.658921209,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"237","Deer Creek","1.018e",17.97,112,32,8.62493134,0,30.423,6,1,0.794478783,1,1,1,NA,0,1,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Deer Creek","1.018e",17.14,111,17,8.39463348,0,30.423,4,1,0.79767879,NA,1,NA,NA,0,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA
"239","Deer Creek","1.018e",18.52,110,17,8.76697815,0,30.423,9,1,0.806351517,0,1,1,1,0,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Deer Creek","1.018e",19.21,109,11,9.49413569,0,30.423,8,1,0.687575756,1,1,1,1,0,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","East Fork Wind River","1.008e",14.45,108,11,170.6642444,0,29.365,7,1,0.814242424,NA,1,NA,NA,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"242","Eagle Creek","1.006e",19.32,106,14,1.53502095,0,58.297,6,1,0.599449516,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"243","Clear Creek","1.009",22.33,104,45,112.2688886,0,70.151,8,1,0.783660607,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA
"244","Clear Creek","1.009",19.04,103,51,101.2692506,0,70.151,8,1,0.774721216,1,0,1,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,NA,NA
"245","Clear Creek","1.005e",18.15,99,13,9.68170058,0,85.313,6,0,0.849666664,0,0,NA,NA,NA,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1
"246","Chugwater Creek","1.018e",19.29,98,42,35.66528558,1,125.122,6,0,0.724066667,1,1,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Cheyenne River","1.012",22.05,97,13,197.8490771,0,262.34,9,1,0.721454546,1,0,NA,1,NA,1,NA,1,0,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA
"248","Cheyenne River","1.012",21.61,95,16,97.81962896,0,262.34,8,1,0.715375759,1,0,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA
"249","Cheyenne River","1.012",21.94,94,28,192.2543478,0,262.34,3,0,0.72590909,1,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
"250","Crow Creek","1.009",21.31,93,19,7.07103539,0,102.355,9,0,0.525757582,1,NA,0,1,NA,0,NA,0,1,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA
"251","Crazy Woman Creek","1.009",20.46,92,18,38.03778631,1,158.213,5,1,0.706150025,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0
"252","Box Elder Creek","1.018e",18.07,90,31,5.80781123,1,61.595,3,1,0.823090913,NA,1,1,NA,NA,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Box Elder Creek","1.018e",18.34,89,31,6.37923309,1,61.595,5,1,0.806406066,NA,1,0,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Box Elder Creek","1.018e",19.4,88,31,6.38022454,1,61.595,7,1,0.833030305,NA,1,1,NA,0,1,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA
"255","Cache la Poudre River","1.019e",16.79,71,16,366.4711475,1,1.469,3,1,0.812709093,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Belle Fourche River","1.012",22.54,65,71,116.8728178,1,282.969,9,0,0.809896971,0,1,1,1,NA,1,NA,0,NA,NA,NA,NA,NA,0,1,NA,0,0,0,NA
"257","Belle Fourche River","1.012",21.51,64,46,137.8940722,1,282.969,10,1,0.829781819,1,0,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,0,1,1,0,1,0,NA
"258","Belle Fourche River","1.012",22.25,63,46,155.6746636,1,282.969,12,1,0.839660603,1,0,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,0,1,1,1,1,1,NA
"259","Belt Creek","1.003",18.17,62,13,82.76930672,0,126.339,10,0,0.891793939,NA,0,NA,0,0,0,NA,NA,NA,NA,1,0,NA,NA,0,0,NA,NA,NA,1
"260","Belle Fourche River","1.012",23,60,57,124.9873271,1,282.969,4,0,0.821236365,1,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,NA
"261","Arrow Creek","1.004",19.84,47,14,22.23152846,0,143.768,8,0,0.918060604,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,1,NA,NA,1
"262","Antelope Creek","1.012",19.68,46,18,37.90202741,0,123.262,3,1,0.752666668,1,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"263","Beaver Creek","1.004",14.09,44,11,2.78390404,0,34.644,5,0,0.850569694,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"264","Beaver Creek","1.008e",16.64,43,11,19.89261258,0,7.574,4,1,0.828012123,1,1,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"265","Beaver Creek","1.012",20.17,42,45,10.59515945,1,39.972,7,0,0.617284848,1,1,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA
"266","Bear Creek","1.018e",18.81,41,17,20.86264745,0,87.993,4,0,0.686351518,NA,1,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Wagonhound Creek","1.018e",15.33,26,10,2.40110408,0,35.258,4,1,0.832193936,NA,0,1,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Tenmile Creek","1.009",20.7,23,27,1.87431508,0,29.785,11,0,0.395636365,1,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA
"269","Tenmile Creek","1.009",21.03,22,37,1.92484798,0,29.785,10,0,0.366963634,1,1,0,1,0,1,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,1,NA,NA
"270","Sweetwater River","1.018e",19.27,21,25,47.18497001,0,15.66,8,1,0.634139392,1,1,1,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Sweetwater River","1.018e",16.12,20,18,14.60020586,1,48.654,5,1,0.803903029,NA,1,NA,NA,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Sweetwater River","1.018e",17.47,17,18,36.17224963,1,23.167,7,0,0.733884848,1,1,NA,1,1,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Sun River","1.003",16.83,16,18,486.8919609,1,91.073,3,0,0.693387882,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"274","Sun River","1.003",18.6,15,16,525.4510969,1,91.073,6,1,0.927187874,NA,0,NA,NA,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"275","Sun River","1.003",18.6,14,12,528.0579333,0,50.222,7,1,0.92741212,NA,0,NA,NA,1,1,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Tongue River","1.009",18.34,12,44,175.3228275,0,35.04,12,1,0.832054548,NA,0,NA,0,1,1,NA,NA,NA,1,NA,0,NA,NA,1,1,0,NA,1,0
"277","Tongue River","1.009",22.4,10,21,330.9238759,0,334.752,13,1,0.737224241,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA
"278","Spring Creek","1.018e",16.08,2,19,1.60193908,0,101.29,3,0,0.719266667,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
