"","X","GNIS_NAME","HUC6","STATE","OBSPRED_ID","TAILWATER","ELEV","CANOPY","SLOPE","PRECIP","CUMDRAINAG","Y_COORD","NLCD11PC","BFI","S1_93_11","S30_2040D","S32_2080D","RepeatID","Yrange","LATITUDE","LONGITUDE","F_MAUG_HIS","F_BFI_HIST","DSbarrier","Length_km","numSpE","richChange","EB","LL","GR","ONC","TGT","SPK","WCT","CIS","LWF","RB","KOK","MWF","LT","LMB","SMB","BG","PUMP","GSUN","BLCR","WHCR","WBS","RKB","NRBDC","BMSH","CMSH","LSCH","RDSH","RTCH","LKCH","HHCH","GILA","SMMN","WSMN","BRMN","PLMN","WS_PLMN","STCH","FSDC","SFCH","NPDC","STR","GSH","EMSH","SPSH","SDSH","FHMN","FHCH","SPDC","LNDC","RSSH","CRCH","GDF","CARP","BLBH","YLBH","CCAT","SCAT","LING","DRUM","PKF","PTMN","GE","PF","IOWA","JDT","ODT","YP","SGR","WE","NP","RMCOT","COLCOT","BRSB","PSTRG","SSTRG","RCSU","LNSU","WSU","MTSU","PLSU","BSU","SMBUF","BMBUF","BHSU","BHxWSU","FMSU","FMxBHSU","FMxWSU","QBK","SHRH","GAM","GZS","HYBOG","RMCT","NativeNet","persNative","persComm","persGlacE","persGlacL","nnPreds","nColonizSp"
"173",173,"South Platte River","1.019e","Colorado",111652,0,1397.13,3.37,0.00101544,343.9,25021.36,1186934,0.985234,60,20.89,21.75,22.33,283,16,40.410907,-104.562263,1484.869312,0.30056394,1,17.611,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,NA,0,NA,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,6,1,1,1,1,1,15
"201",201,"","1.008e","Montana",182566,0,915.85,3.52,0.0019,376.9518,52598.35,1727060.05,0,65,20.12,21.25,22.14,255,25,45.526309,-107.72556,3827.932938,0.31541571,1,113.061,5,8,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,7,0.5,0.8,0.5,NA,1,9
"205",205,"","1.008e","Montana",185803,0,888.49,2.9,5e-05,344.65,53316.48,1744035.42,0,61,21.21,22.36,23.28,251,28,45.671075,-107.609604,3842.161424,0.31481034,1,113.061,10,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,0,NA,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-1,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,0.25,0.3,0.285714285714286,0,1,2
"207",207,"North Platte River","1.018e","Nebraska",119979,0,1116.47,1.55,0.00106965,417.96,63183.84,1341469,0.445,75,23.11,24.32,25.24,249,23,41.676795,-103.09571,1837.843475,0.20038678,0,128.799,12,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,-1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,-1,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1,-1,NA,NA,-4,0.4,0.333333333333333,0.333333333333333,0.428571428571429,1,3
"208",208,"North Platte River","1.018e","Wyoming",142642,0,1445.88,1.03,0.00295835,331.85,35516.91,1430819,0.491,45,21.26,22.42,23.3,248,55,42.69312,-105.391791,1203.108889,0.19681489,1,73.568,6,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,-4,0,0,0,0,0,3
"210",210,"North Platte River","1.018e","Wyoming",146243,0,1577.43,4.02,1e-05,324.8,28858.64,1428519,0.555,49,19.23,20.34,21.18,246,56,42.755315,-106.530727,1163.585415,0.18920797,1,136.275,10,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,0,NA,-1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,0.3,0.3,0.5,0,0,4
"214",214,"North Platte River","1.018e","Wyoming",132394,0,1319.85,1.64,0.00110053,359.79,40360.21,1390593,0.492,61,21.9,23.08,23.97,242,27,42.276754,-104.752926,1236.120587,0.2010917,1,18.375,11,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,-1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,0.8,0.727272727272727,0.833333333333333,0.75,0,0
"234",234,"North Platte River","1.018e","Wyoming",131439,0,1285.88,14.38,0.00085407,348.68,40856.62,1384934,0.488,68,21.53,22.7,23.59,221,19,42.208274,-104.53128,1245.157907,0.20158071,1,58.533,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,-1,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.6,0.5,0.5,1,1,7
"235",235,"North Platte River","1.018e","Wyoming",146245,0,1577.51,6.87,1e-05,324.8,28858.64,1430134,0.555,49,19.15,20.26,21.1,220,19,42.770899,-106.531918,1163.585415,0.18920797,1,136.275,5,2,NA,-1,NA,-1,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,-1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.5,0.2,0.5,NA,0,6
"236",236,"North Platte River","1.018e","Wyoming",129535,0,1265.71,5.64,0.00014134,350.02,52803,1377335,0.463,70,22.05,23.23,24.13,219,84,42.123648,-104.375226,1627.497349,0.19785402,1,58.533,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,-1,-1,NA,0,NA,1,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,0.7,0.727272727272727,0.666666666666667,0.75,1,9
"237",237,"Missouri River","1.006e","Montana",224547,1,594.5,0,0.00010278,338.964,204919.9,2028718,0.751,19,17.26,18.39,19.57,218,17,48.090024,-105.2321,7782.849624,0.35448291,0,331.351,4,24,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,0,1,1,NA,NA,NA,1,0,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,17,1,1,1,1,1,24
"238",238,"Missouri River","1.006e","Montana",221060,1,616.5,0,0.00029637,289.113,145838.2,2016510,0.975,15,13.47,14.49,15.56,217,12,48.055691,-106.3193,6431.306469,0.36525354,0,331.351,15,-12,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,-1,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,0,-1,0,-1,NA,NA,1,-1,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,-8,0.181818181818182,0.133333333333333,0.142857142857143,0.25,0,1
"239",239,"Missouri River","1.004","Montana",203206,0,732.1,0,0.00173529,309.942,99727.9,1964106,0.599,61,21.28,22.53,23.83,216,22,47.746695,-109.575502,5821.633013,0.34855455,0,345.39,19,-8,NA,NA,NA,-1,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,0,NA,NA,NA,NA,NA,-1,NA,NA,-1,NA,0,-1,NA,NA,-1,NA,NA,NA,NA,-1,0,-1,0,NA,NA,NA,NA,1,-1,NA,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-1,0.6,0.421052631578947,0.714285714285714,0.333333333333333,1,3
"240",240,"Missouri River","1.004","Montana",200902,0,687.57,0,1e-05,357.88,102612.9,1956511,0.6,47,21.9,23.16,24.49,215,22,47.643882,-108.755896,5852.656018,0.34926697,0,345.39,6,13,NA,NA,NA,-1,NA,NA,NA,NA,NA,-1,NA,NA,NA,1,NA,1,1,NA,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,0,1,1,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,12,NA,0.166666666666667,NA,NA,1,18
"243",243,"Missouri River","1.004","Montana",204928,0,706.35,0,1e-05,345.738,100094.5,1971112,0.605,51,21.48,22.73,24.05,212,16,47.789724,-109.106201,5824.550261,0.34868026,0,345.39,8,6,NA,NA,NA,1,NA,NA,NA,-1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,1,NA,NA,0,NA,NA,NA,NA,1,0,1,-1,NA,NA,NA,1,1,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,4,0.6,0.5,0.75,0,1,10
"257",257,"Madison River","1.002e","Montana",116524,0,1350.25,7.89,0.00014,337.2884,5868.246,1721902,1.38,74,19.09,20.48,21.4,195,16,45.622926,-111.550384,1066.586944,0.21372245,0,63.463,5,1,0,1,-1,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.8,0.5,NA,1,2
"305",305,"Green River","1.404","Wyoming",251100,0,2038.97,3.41,0.0007317,200.96,8444.75,1375356,1.183698,68,17.62,18.69,19.5,140,17,42.459737,-110.078085,1109.506726,0.2336243,0,158.82,4,3,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,0,0.5,0.75,1,0,1,4
"306",306,"Green River","1.404","Wyoming",242073,0,1938.38,3.3,0.0010355,195.69,11387.3,1321357,1.169384,63,18.71,19.81,20.64,139,12,41.969782,-110.015532,1185.26039,0.24186268,1,107.16,5,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,-1,-1,-1,NA,-1,NA,NA,NA,NA,NA,1,0,0,0.2,NA,0,1,6
"323",323,"Green River","1.404","Wyoming",236020,0,1879.38,0.57,0.00050955,205.16,17642.96,1290455,0.877363,57,19.42,20.54,21.38,122,10,41.679911,-109.664262,1286.735938,0.26693864,1,107.16,5,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-1,NA,1,NA,NA,NA,NA,NA,-1,-1,0,0.4,0,0,1,4
