RepeatID,crop
462,0.005114833
461,0
460,0.000357896
457,0.099783385
455,0.119533115
454,0.124691458
453,0.057681799
452,0.159677485
451,0
450,0.053251443
449,0.093818754
448,0.004732452
447,0.728631481
446,0.223713489
445,0.538639281
444,0.051868635
443,0.043488765
442,0.045007125
441,0.043467804
440,0.009276753
439,0.082425983
438,0.028711374
436,0.024916574
435,0.116515514
434,0.111984668
433,0.057802446
432,0.013151571
431,0.002934974
430,0.038420905
429,0
428,0.137372216
427,0.006425359
426,0
425,0.00210757
424,0.023872066
423,0.001734694
422,0.014602271
421,0.258497896
420,0.157995205
419,0.158766725
418,0.480846184
417,0.270434376
416,0.20867521
415,0.02095155
414,0.335371527
413,0.002923977
412,0.053252668
411,0.006157805
410,0.418165447
409,0.479395826
408,0.353800765
407,0.651060153
406,0.68200769
405,0.114799573
404,0.342953176
403,0.178226555
402,0.044201768
401,0.028711374
400,0.005318317
399,0.425429209
398,0.158776764
397,0.160076559
396,0.112317467
395,0.804202771
393,0.540568499
392,0
391,0.009951259
390,0.319834301
389,0
388,2.05326E-05
387,0
386,0.101052446
385,0.042902396
384,0.332855498
383,0
382,2.08117E-05
381,0.048136611
380,0.06510633
379,0.026150359
378,0.000250707
377,0.098582324
376,0.097665565
375,0.006157805
374,0
373,0
372,0.089584292
371,0.069612426
370,0
369,0.118438226
368,0
367,0.001168448
366,0
365,0.233146998
364,0.104440483
363,0.155142514
362,0.098539666
361,0.037781298
360,0
359,0.385010356
358,0.052590805
357,0.06849604
356,0.851656433
355,0
354,0.012448036
353,0.880632612
352,0.011138614
351,0.005822171
350,0.083410627
349,0.080304425
348,0.602561705
347,0.621043349
346,0.000794317
345,0.061693134
344,0.009276753
343,0
342,0.005825489
341,0.001094891
340,0.047236202
339,0.040499018
338,0.026205497
337,0
336,0.310703805
335,0
334,0.000326517
333,0.005551247
332,0
331,2.32574E-05
330,0.205174134
329,0.116515514
328,0
327,0
325,0
324,2.1173E-05
323,0.131728074
322,0.183430624
321,0.192949111
320,0.003202254
319,0.003201639
318,0.003200273
317,0.003995385
316,0
315,0
313,2.13666E-05
312,0.00010689
311,0.000171061
310,0.008173571
309,0
308,0.000902023
307,0.000965582
306,0.000709205
305,4.2983E-05
304,4.29609E-05
303,0.001524816
302,0.008154571
301,0.183118648
300,0.552173068
299,0.558375086
298,2.11694E-05
297,0.000528687
296,0.019989424
295,0.000507571
294,0
293,0
292,0
291,0.00082954
290,0.000191261
289,0
288,0
287,0.149873756
286,0.299098943
285,0.001451596
284,0
283,0.585321027
282,0.000108401
281,0.015626918
280,0.027050753
279,0.014937573
278,0.033259328
277,0.608466804
276,0.383146938
275,0.487277805
274,0.195986726
273,0.008329342
272,0.0165
271,0.095225666
270,0.041543219
269,0.055098987
268,0.030911063
267,0.043187493
266,0.033616373
265,0.22941502
264,0.000298896
263,0.002143577
262,0.080863877
261,0.13372896
260,0.000769903
259,0.005209853
258,0.002866289
257,0.005911121
256,0.006008916
255,0.634226714
254,0.291761894
253,0.000164008
252,0.115580762
251,0.488958852
250,0.133296403
249,0.256815748
248,0.105554044
247,0.001917921
246,0.112981222
245,0.136109901
244,0.003175526
243,0
242,0.001185179
241,0.019204446
240,0
239,0
238,0.000679616
237,0.028264829
236,0.01517718
235,0
234,0
233,0.11533143
232,0
231,0.002288563
230,0.091537611
229,0.037501616
228,0.00430498
226,0.002167708
225,0.035329795
224,0.039399545
223,0.176724046
222,0
221,0.186422034
220,0.211979058
219,0.497075781
218,0.516815627
217,0.447673616
216,0.069771698
215,0
214,0.075388792
213,0.331138483
212,0
211,0
210,0.273138833
209,0.121042084
208,0.115481153
207,0.499441091
206,0.093895762
205,0.00011352
204,0.039991961
201,0.022212223
200,0
199,0
198,0.473950781
197,0
195,0.017936431
194,0.000125397
193,0.247779298
192,2.035E-05
191,0
189,0.163929061
188,0.167381887
187,0.003399828
186,0.095591999
185,0.045251872
184,0.038021946
183,0.002786308
182,0.001790984
180,0.02020202
179,0.006643624
178,0
177,0
176,0
175,0.055995752
174,0.004224846
173,0.255639877
172,0.10183629
171,0.003536419
170,0.054554941
169,0.243022853
168,0.400819706
167,0.113595746
166,0.021681799
165,0.029398983
164,0.097981204
163,0.03426981
162,0.033210013
161,0.11770075
160,0.01817748
159,0
158,0
157,0
156,0.452644417
155,0.073147428
154,0.12557855
153,0.084362605
150,0.132213866
147,0.055244179
146,0.081056016
145,0.048216127
144,0.046041423
143,0.04330337
142,0.000123566
140,0.219036889
139,0.000578907
138,0.195120289
137,0.127721709
136,0.142731107
135,0.368551587
134,0.035334237
133,0
132,0.011199704
131,0.235980778
130,0.197224689
129,0.531630397
128,0
127,0.260072655
126,0.114740282
125,0
124,0.029146653
123,0.277291326
122,0.036650615
121,0.000308807
120,0.000268517
119,0.308158939
118,0.001993752
117,0.00101336
116,0.000970874
115,0.172600008
114,2.13456E-05
113,0.007258971
112,0.137408732
111,0.041008474
110,0.083460709
109,0.025022041
108,0.014469385
106,0.538639281
105,0.459525808
104,0.095110051
103,0.223958446
102,0.045343217
101,0.325572183
100,0.419678891
99,0.254925193
98,0.118684728
97,0.000254033
96,6.3488E-05
95,0
94,0.017890035
93,0.000308153
92,0.038420905
91,0.005827211
90,0.01972432
89,0.006465788
88,0.004775669
87,0.394125599
86,0.000390609
85,0
84,0.000267336
83,0
82,0
81,0.007684879
80,0.003117245
79,0.018570463
78,0
77,0.040615498
76,2.05495E-05
75,0.594923754
74,0.01841394
73,0.04094968
71,0.075289967
70,0
67,0.027050197
65,0.096482152
64,0.118593008
63,0.092583364
62,0.354776896
61,0.068849923
60,0.095036503
59,0
58,0
57,0.016720007
56,6.48298E-05
55,0.030390863
54,0
53,0.000184896
52,0.128317156
51,0.138612368
50,0.121719818
49,0.295519501
48,0.286573057
47,0.015596935
46,0
45,0.24504204
44,0.021229654
43,0.101896246
42,0.001324305
41,0
40,0.31224693
39,0.000198697
38,0.270413808
37,0.243879723
36,0.27111318
35,0.09844525
34,0.430991119
33,0.292509604
32,0.177177177
31,0.202542637
30,0.471563405
29,0.217273173
28,0.308605802
27,0.313562109
26,0
25,0.045997191
24,0.643065739
23,0.067907456
22,0.00586957
21,0.000187844
20,0
19,0.014666917
17,0
16,0.072527523
15,0.489043122
14,0.310451636
12,0.09221445
11,4.22744E-05
10,0.136046693
9,0.021625022
8,0.248484467
7,8.40725E-05
6,0.181202549
5,0.040837632
4,0.749616196
3,0.447993448
2,0
1,0.012658493