CommonName,SciName,Code,a,b,lw_Source,Status,TrophicGuild,FeedingGuild,ReproductiveGuild,Thermal,SimpleThermal,HabitatGuild,Glacial,Notes
Arctic Grayling,Thymallus arcticus,GR,-5.696,3.254,Ecklebecker et al. 2023,Native,,,,,,,E,
Bigmouth Buffalo,Ictiobus cyprinellus,BMBUF,-5.13,3.122,Ecklebecker et al. 2023,Native,,,,,,,E,
Bigmouth Shiner,Ericymba dorsalis,BMSH,-5.03363,2.98913,Used spottail shiner from Schneider,Native,O,G,LO,Warm,Warm,Lotic,L,
Black Bullhead,Ameiurus melas,BLBH,-5.174,3.154,Ecklebecker et al. 2023,Introduced,IC,B,GU,Warm,Warm,Lotic,,
Black Crappie,Pomoxis nigromaculatus,BLCR,-5.15,3.147,Ecklebecker et al. 2023,Introduced,,,,,,,,
Blue Sucker,Cycleptus elongatus,BSU,-5.85,3.277,Ecklebecker et al. 2023,Native,,,,,,,L,
Bluehead Sucker,,BHSU,,,,Native,,,,,,,L,
Bluehead x White Sucker,,BHxWSU,,,,Introduced,,,,,,,,
Bluegill,Lepomis macrochirus,BG,-5.435,3.349,Ecklebecker et al. 2023,Introduced,IC,G,GU,,,,,
Brassy Minnow,Hybognathus hankinsoni,BRMN,-5,3,,Native,H,B,PH,Cool-Warm,Warm,Lotic,E,
Brook Stickleback,Culaea inconstans,BRSB,-5,3,,Mixed,IN,G,GU,Cool,Cool,Lentic,E,
Brook Trout,Salvelinus fontinalis,EB,-5.248,3.117,Ecklebecker et al. 2023,Introduced,IC,G,BH,Cold,Cold,General,,
Brown Trout,Salmo trutta,LL,-4.783,2.91,Ecklebecker et al. 2023,Introduced,IC,G,BH,Cold-Cool,Cold,Lotic,,
Bull Trout,Salvelinus confluentus,BULL,-5.125,3.03,Ecklebecker et al. 2023,Native,,,,,,,,
Burbot,Lota lota,LING,-4.944,2.891,Ecklebecker et al. 2023,Native,,,,,,,E,
Central Stoneroller,Campostoma anomalum,STR,-5.2702,3.17,Schneider et al. says to use Hornyhead Chub,Native,H,B,LO,Cool-Warm,Warm,Lotic,L,
Channel Catfish,Ictalurus punctatus,CCAT,-5.8116,3.2764,Schneider et al. 2000,Native,IC,B,CG,,Warm,Lotic,L,
Cisco,Coregonus artedi,CIS,-5.513,3.198,Ecklebecker et al. 2023,Introduced,,,,,,,,
Colorado Sculpin,,COLCOT,,,,Native,,,,,,,E,
Common Carp,Cyprinus carpio,CARP,-4.787,2.964,Ecklebecker et al. 2023,Introduced,O,B,PH,Cool-Warm,Warm,Lentic,,
Common Shiner,Luxilus cornutus,CMSH,-5.6124,3.32,Schneider et al. 2000,Native,O,G,BH,Cool,Cool,Lotic,L,
Creek Chub,Semotilus atromaculatus,CRCH,-4.84812,2.92494,Schneider et al. 2000,Native,IC,G,BH,Cool,Cool,Lotic,L,
Cutthroat Trout,Oncorhynchus sp. clarkii,CUT,-5.022,3.0095,Ecklebecker et al. 2023,Native,,,,,,,E,
Emerald Shiner,Notropis atherinoides,EMSH,-4.71,2.73,Schneider et al. 2000,Native,IN,WC,PB,,,,E,
Fathead Minnow,Pimephales promelas,FHMN,-5.03343,3.0765,Schneider et al. 2000,Native,O,G,CG,Cool-Warm,Warm,General,E,
Finescale Dace,Chrosomus neogaeus,FSDC,,,,Native,,,,,,,E,
Flannelmouth Sucker,,FMSU,,,,Native,,,,,,,L,
FlannelmouthxBluehead,,FMxBHSU,,,,Native,,,,,,,L,
FlannelmouthxWhite,,FMxWSU,,,,Introduced,,,,,,,,
Flathead Chub,Platygobio gracilis,FHCH,-4.453,2.743,Ecklebecker et al. 2023,Native,IN,G,PB,,Warm,Lotic,E,
Freshwater Drum,Aplodinotus grunniens,DRUM,-5.161,3.107,Ecklebecker et al. 2023,Mixed,,,,,Warm,,E,therm based on educated guess
Gizard Shad,Dorosoma cepedianum,GZS,-5.07752,3.03707,Schneider et al. 2000,Introduced,,,,,,,,
Golden Shiner,Notemigonus crysoleucas,GSH,-4.261,2.706,Ecklebecker et al. 2023,Introduced,O,WC,PH,Cool-Warm,Warm,Lentic,,
Golden Trout,Oncorhynchus aguabonita,GT,-4.713,2.879,Ecklebecker et al. 2023,Introduced,,,,,,,,
Goldeye,Hiodon alosoides,GE,-4.834,2.913,Ecklebecker et al. 2023,Native,IN,WC,PB,,Warm,,E,
Goldfish,Carassius auratus,GDF,-5,3,,Introduced,,,,,,,,
Green Sunfish,Lepomis cyanellus,GSUN,-4.702,2.993,Ecklebecker et al. 2023,Introduced,IC,G,GU,Warm,Warm,Lotic,,
Hornyhead Chub,Nocomis biguttatus,HHCH,,,,Native,,,,,,,L,But glacial relict
Hybognathus,Hybognathus sp.,HYBOG,-5,3,,Native,H,B,PB,,Warm,Lotic,,
Iowa Darter,Etheostoma exile,IOWA,-5.404,3.198,JDT from Schneider et al. 2000,Native,IN,G,GU,Warm,Warm,Lentic,E,
Johnny Darter,Etheostoma nigrum,JDT,-5.404,3.198,Schneider et al. 2000,Native,IN,B,CG,Cool,Cool,General,L,
Kokanee,Oncorhynchus nerka,KOK,-5.206,3.071,Ecklebecker et al. 2023,Introduced,,,,,,,,
Lake Chub,Couesius plumbeus,LKCH,-4.76,2.908,Ecklebecker et al. 2023,Native,IN,WC,PH,Cool-Warm,Cool,Lotic,E,
Lake Trout,Salvelinus namaycush,LT,-5.301,3.078,Ecklebecker et al. 2023,Introduced,,,,,,,,
Lake Whitefish,Coregonus clupeaformis,LWF,-5.834,3.297,Ecklebecker et al. 2023,Introduced,,,,,,,,
Largemouth Bass,Micropterus nigricans,LMB,-5.178,3.152,Ecklebecker et al. 2023,Introduced,IC,G,GU,,Warm,Lentic,,
Largescale Sucker,Catostomus macrocheilus,LSSU,-5.134,3.048,Ecklebecker et al. 2023,Native,,,,,,,,
Leatherside Chub,,LSCH,,,,Native,,,,,,,L,
Longnose Dace,Rhinichthys cataractae,LNDC,-4.703,2.863,Ecklebecker et al. 2023,Native,IN,B,GU,Cool,Cool,Lotic,E,
Longnose Sucker,Catostomus catostomus,LNSU,-5.012,3.015,Ecklebecker et al. 2023,Native,IN,B,LO,Cold-Cool,Cool,General,E,
Mosquitofish,Gambusia affinis,MSQ,-5,3,,Introduced,,,,,,,,
Mountain Sucker,Pantosteus platyrynchus,MTSU,,,,Native,,,,,,,E,
Mountain Whitefish,Prosopium williamsoni,MWF,-5.226,3.079,Ecklebecker et al. 2023,Native,,,,,,,E,
Northern Pearl Dace,Margariscus nachtriebi,NPDC,,,,Native,,,,,,,E,
Northern Pike,Esox lucius,NP,-5.618,3.158,Ecklebecker et al. 2023,Introduced,C,WC,PH,,Cool,General,,therm based on educated guess
Northern Pikeminnow,Ptychocheilus oregonensis,NPMN,-5.63,3.227,Ecklebecker et al. 2023,Native,,,,,,,,
Northern Plains Killifish,Fundulus kansae,PKF,-5.5659,3.326,Topminnow from Schneider,Mixed,IN,G,BH,,Warm,Lotic,L,
Northern Redbelly Dace,Chrosomus eos,NRBDC,-5,3,,Native,O,WC,PH,Cool,Cool,General,E,
Orangethroat Darter,Etheostoma spectabile,ODT,-5.404,3.198,JDT from Schneider et al. 2000,Native,IN,B,BH,,Cool,Lotic,L,therm based on farless and brewer 2017 FWS
Paddlefish,Polyodon spathula,PF,-7.01,3.732,Ecklebecker et al. 2023,Native,IN,WC,LP,,,,L,
Pallid Sturgeon,Scaphirhynchus albus,PSTRG,-6.397,3.329,Ecklebecker et al. 2023,Native,,,,,,,L,
Plains Minnow,Hybognathus placitus,PLMN,-5,3,,Native,H,B,PB,,,,L,
Plains Sucker,Pantosteus jordani,PLSU,-4.633,3.015,Ecklebecker et al. 2023,Native,H,B,LO,Cool,Cool,Lotic,E,
Plains Topminnow,Fundulus sciadicus,PTMN,-5.5659,3.326,Schneider et al. 2000 for Blackstripe Topminnow,Mixed,IN,WC,PH,Warm,Warm,Lotic,L,
Pumpkinseed,Lepomis gibbosus,PUMP,-4.998,3.157,Ecklebecker et al. 2023,Introduced,IC,G,GU,Warm,Warm,Lotic,,
Quillback,Carpiodes carpiodes,QBK,-5.16059,3.09633,Schneider et al. 2000,Native,,,,,,,L,
Rainbow Trout,Oncorhynchus mykiss,RB,-4.841,2.939,Ecklebecker et al. 2023,Introduced,IC,G,BH,Cold-Cool,Cold,Lotic,,
Red Shiner,Cyprinella lutrensis,RDSH,,,,Mixed,,,,,,,L,
Redside Shiner,Richardsonius balteatus,RSSH,-5.864,3.416,Ecklebecker et al. 2023,Introduced,,,,,,,,
River Carpsucker,Carpiodes carpio,RCSU,-5.134,3.102,Ecklebecker et al. 2023,Native,O,B,PH,,Warm,General,L,
Rocky Mountain Sculpin,Cottus bondi,RMCOT,-5.012,3.015,Ecklebecker et al. 2023,Native,,,,,,,E,
Roundtail Chub,,RTCH,,,,Native,,,,,,,L,
Sand Shiner,Miniellus stramineus,SDSH,-5.03363,2.98913,Used spottail shiner from Schneider,Native,O,G,LO,Cool-Warm,Warm,Lotic,L,
Sauger,Sander canadensis,SGR,-5.606,3.195,Ecklebecker et al. 2023,Native,IC,G,LP,,,,E,
Shorthead Redhorse,Moxostoma macrolepidotum,SHRH,-4.964,2.999,Ecklebecker et al. 2023,Native,IN,B,LO,,Warm,Lotic,E,
Shortnose Gar,Lepisosteus platostomus,GAR,-5.4039,2.9811,Schneider et al. 2000,Native,,,,,,,L,
Sicklefin Chub,,SFCH,,,,Native,,,,,,,L,
Smallmouth Bass,Micropterus dolomieu,SMB,-5.302,3.192,Ecklebecker et al. 2023,Introduced,IC,G,GU,,,,,
Smallmouth Buffalo,Ictiobus bubalus,SMBUF,-4.621,2.933,Ecklebecker et al. 2023,Native,O,B,PH,,,,L,
Speckled Dace,,SPDC,,,,Native,,,,,,,E,
Spottail Shiner,Hudsonius hudsonius,SPSH,-5.03363,2.98913,Schneider et al. 2000,Introduced,,,,,,,,
Stonecat,Noturus flavus,SCAT,-5.038,3.009,Ecklebecker et al. 2023,Native,IC,B,CG,,,,E,
Sturgeon Chub,Macrhybopisis gelida,STCH,,,,Native,,,,,,,L,
Suckermouth Minnow,,SMMN,,,,Native,,,,,,,L,
Tiger Muskellunge,Esox masquinongy x lucius,TIM,-6.009,3.292,Ecklebecker et al. 2023,Introduced,,,,,,,,
Utah Chub,Gila atraria,GILA,-5.155,3.109,Ecklebecker et al. 2023,Native,,,,,,,L,
Walleye,Sander vitreus,WE,-5.688,3.249,Ecklebecker et al. 2023,Introduced,IC,G,LP,,,,,
Western Silvery Minnow,Hybognathus argyritis,WSMN,-5,3,,Native,H,B,PB,,,,E,
Westslope Cutthroat Trout,Oncorhynchus lewisi,WCT,-5.086,3.034,Ecklebecker et al. 2023,Native,,,,,,,E,
White Crappie,Pomoxis annularis,WHCR,-5.8236,3.3835,Schneider et al. 2000,Introduced,,,,,,,,
White Sturgeon,Acipenser transmontanus,WSTRG,-6.692,3.454,Ecklebecker et al. 2023,Native,,,,,,,,
White Sucker,Catostomus commersonii,WSU,-5.243,3.123,Ecklebecker et al. 2023,Native,O,B,LO,Cool,Cool,Lotic,E,
Yellow Bullhead,Ameiurus natalis,YLBH,-5.442,3.254,Ecklebecker et al. 2023,Introduced,IC,B,CG,Warm,Warm,,,
Yellow Perch,Perca flavescens,YP,-5.507,3.268,Ecklebecker et al. 2023,Introduced,IC,WC,PH,,,,,
Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,RMCT,-4.958,2.985,Ecklebecker et al. 2023,Native,,,,,,,E,
,,ONC,,,,Introduced,,,,,,,,
,,TGT,,,,Introduced,,,,,,,,
,,WBS,,,,Introduced,,,,,,,,
Rock Bass,,RKB,,,,Introduced,,,,,,,,
,,WS_PLMN,,,,Native,,,,,,,Mixed,
,,SSTRG,,,,Native,,,,,,,L,
,,GAM,,,,Introduced,,,,,,,,
,,SPK,,,,Introduced,,,,,,,,
,,HYBOG,,,,Native,,,,,,,Mixed,
